edge_u,edge_v,edge_k,road_type,matched_segment_id,match_dist_m
28289985,28289974,0,secondary,1301,158.2
28290013,28289857,0,secondary,1295,175.0
28290013,28289985,0,secondary,1301,147.0
28290256,11046758434,0,secondary,1295,220.8
28290256,28290265,0,secondary,1054,247.6
28290256,27446756,0,secondary,1294,231.5
28290265,10930773779,0,secondary,1057,236.9
28290265,28290256,0,secondary,1054,247.6
28290265,28290271,0,secondary,1057,172.2
28290271,27477597,0,secondary,1057,119.9
28290271,28290286,0,secondary,1057,47.5
28290277,28290271,0,secondary,1054,130.4
28290277,4804622900,0,secondary,1054,135.4
28290281,11060789434,0,secondary,1054,17.9
28290281,28290277,0,secondary,1054,45.6
28290286,28290281,0,secondary,1054,78.9
28290286,10923165759,0,secondary,1057,77.3
28290296,11060811046,0,secondary,1299,12.5
28290296,11060274227,0,secondary,1298,81.3
28290296,10923165759,0,secondary,1299,147.7
28292362,4336042974,0,secondary,1037,133.1
28292362,28292368,0,secondary,1037,7.5
28292368,28358938,0,secondary,1037,66.3
28292368,28292395,0,secondary,1037,126.7
28292395,12314025358,0,secondary,1027,119.4
28292395,1536858520,0,secondary,1036,60.5
28292395,11831462309,0,secondary,1036,130.3
28357781,1299650237,0,residential,129,323.4
28357781,26794605,0,secondary,129,445.0
28357781,2447758377,0,secondary,129,407.9
28357781,262163159,0,residential,129,469.1
28357795,262227414,0,primary,295,86.0
28357795,262077585,0,residential,316,160.1
28357795,2447758369,0,primary,295,215.1
28358883,3682780135,0,secondary,1026,128.9
28358883,28358888,0,secondary,1026,15.5
28358888,28358944,0,secondary,1035,73.6
28358888,28358891,0,secondary,1034,142.1
28358888,929584673,0,secondary,1035,84.2
28358891,7015619031,0,secondary,1034,130.5
28358891,28358895,0,secondary,1034,4.4
28358895,28358947,0,secondary,1025,68.3
28358895,271167057,0,secondary,1034,78.7
28358930,271172137,0,secondary,1029,75.0
28358930,740363264,0,secondary,1029,65.3
28358932,740363259,0,secondary,1029,152.9
28358932,258957342,0,secondary,1029,185.4
28358933,28292362,0,secondary,1037,59.7
28358933,28358932,0,secondary,1028,119.2
28358938,258957339,0,secondary,1028,80.8
28358938,28358933,0,secondary,1028,10.2
28358941,28358883,0,secondary,1026,77.8
28358941,1536858516,0,secondary,1027,61.6
28358944,28358941,0,secondary,1026,7.6
28358944,258021252,0,secondary,1026,62.1
28358946,271167576,0,secondary,1025,72.3
28358946,28358944,0,secondary,1035,137.3
